id_laporan;skpd;kategori;waktu_masuk;waktu_selesai;selisih_hari;status;Kota/Kabupaten
TW000062145;KECAMATAN KEPULAUAN SERIBU SELATAN;Penanganan Banjir;2021-01-30;2021-02-01;2;complete;Kepulauan Seribu
TW000062216;KECAMATAN KEPULAUAN SERIBU UTARA;Penanganan Banjir;2021-01-30;2021-02-01;2;complete;Kepulauan Seribu
JK2101140129;KELURAHAN PULAU UNTUNG JAWA;Perizinan Bidang Kesehatan;2021-01-14;2021-02-04;21;complete;Kepulauan Seribu
TW000062510;KECAMATAN KEPULAUAN SERIBU SELATAN;Penanganan Banjir;2021-02-03;2021-02-03;0;complete;Kepulauan Seribu
TW000062783;KELURAHAN PULAU PANGGANG;Pelayanan Administrasi;2021-02-05;2021-02-07;2;complete;Kepulauan Seribu
TW000063092;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-08;2021-02-09;1;complete;Kepulauan Seribu
TW000063253;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-10;2021-02-11;1;complete;Kepulauan Seribu
TW000063397;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-12;2021-02-12;0;complete;Kepulauan Seribu
TW000063698;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-16;2021-02-16;0;complete;Kepulauan Seribu
TW000063783;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-10;2021-02-17;7;complete;Kepulauan Seribu
TW000064490;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-21;2021-02-21;0;complete;Kepulauan Seribu
 TW000064701;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-23;2021-02-24;1;complete;Kepulauan Seribu
TW000064780;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-24;2021-02-25;1;complete;Kepulauan Seribu
TW000064871;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-02-26;2021-02-26;0;complete;Kepulauan Seribu
TW000065186;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-03-03;2021-03-03;0;complete;Kepulauan Seribu
TW000065931;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-03-07;2021-03-08;1;complete;Kepulauan Seribu
TW000065186;KABUPATEN ADMINISTRASI KEPULAUAN SERIBU;Penanganan Banjir;2021-03-03;2021-03-03;0;complete;Kepulauan Seribu
